Hospital_Name,Location,Doctor_Name,Doctor_Specialization,Doctor_Timings,Doctor_Fees,Doctor_Rating
CosmoDent Hi-Tech Dental Hospital,Powai,Dr. Mansi Sanghvi,Dermatologist,Fri10:30 AM-11:30 AM,900,5
Bright 32 Dental Care & Orthodontic Centre,Kandivali East,Dr. Nikhil Surana,Orthodontist,"Mon-Sat10:00 AM-01:30 PM, 05:30 PM-09:30 PM",300,5
Navkar Dental Care And Implant Centre & Navkar Physiotherapy Centre,Andheri West,Dr. Minita Mehta Solanki   (Physiotherapist),Physiotherapist,"Mon-Sat09:30 AM-01:30 PM, 08:00 PM-09:00 PM",500,5
Apollo Spectra Hospitals,Tardeo,Dr. Laila Rajesh Dave,Gynecologist,"Tue, Thu, Sat10:00 AM-12:00 PM","1,000",4
Dr Muffi's Digestive Health Institute,Worli,Ms. Nisha Bajaj,Dietitian/Nutritionist,Mon-Sat09:00 AM-08:00 PM,"3,000",4.5
Care & Cure Maternity And Nursing Home,Powai,Dr. Varsha Degwekar,Gynecologist,"Mon-Sat11:00 AM-01:00 PM, 06:00 PM-08:00 PM",700,4.5
Apollo Spectra Hospitals,Chembur,Dr. Prashant Kewle,ENT/ Otorhinolaryngologist,Mon-Fri04:00 PM-05:00 PM,"1,000",4.5
Dr L H Hiranandani Hospital,Powai,Dr. Roli Dave   (Physiotherapist),Physiotherapist,Mon-Sat08:00 AM-08:00 PM,500,3.5
Purnam Health Centre,Malad West,Dr. Hitesh Shah,Sexologist,Mon-Sat09:05 PM-10:00 PM,"1,500",4
Positive Vibrations,Andheri West,Dr. Keerti Sachdeva   (PhD),Educational Psychologist,"Mon11:00 AM-03:00 PM, 04:30 PM-06:30 PMTue-Sat11:00 AM-03:00 PM, 04:30 PM-07:00 PMSun12:00 PM-03:00 PM, 05:00 PM-06:30 PMshow more","1,500",4
The Childrens Hospital Mumbai,Malad West,Dr. Susan Fernandes,Pediatrician,null,800,4
Smile Again,Dadar East,Dr. Suhasini Sukumar,Dental Surgeon,Mon-Sat12:00 PM-08:00 PM,200,5
Womens Hospital,Khar West,Dr. Aparna Hegde,Gynecologist,Fri05:00 PM-07:00 PM,"2,000",5
Apollo Spectra Hospitals,Chembur,Dr. Gautam Nadkarni,General Surgeon,Mon-Sat09:00 AM-11:00 AM,"1,000",4.5
Dr L H Hiranandani Hospital,Powai,Dr. Rakhee Sahu,Gynecologist,Mon-Sat08:00 AM-08:00 PMSun10:00 AM-12:00 PMshow more,"1,200",3.5
Dr. Nishant's Dental Surgeons Planet,Powai,Dr. Apeksha Anand,Pediatric Dentist,"Mon-Thu, Sat10:00 AM-02:00 PM, 05:00 PM-10:00 PMSun10:00 AM-02:00 PMshow more",500,5
Smile Again,Dadar East,Dr. Dhruti Raut Chavan,Prosthodontist,Mon-Sat09:00 AM-08:00 PMSun10:00 AM-02:00 PMshow more,null,5
Asthma Allergy Clinic - Siddhi Polyclinic,Andheri West,Dr. Tarana Malick,Homoeopathic Pediatrician,"Mon-Sat11:00 AM-02:00 PM, 06:00 PM-09:00 PMSun12:00 AM-04:00 PMshow more","1,000",5
Wockhardt Hospitals,Mira Road,Dr. Vinod Rambal,Neurosurgeon,Mon-Sat03:00 PM-07:00 PM,750,4
Dent Heal,Bandra West,Dr. Darshana R Bhuta,Dentist,Mon-Sat10:30 AM-06:30 PM,500,5
Parakh Hospital,Ghatkopar,Dr. Hardeek Ghundiyal,Orthopedist,Mon-Sat04:00 PM-05:00 PM,800,4.5
Fortis Hospital,Mulund West,Dr. Chetan Shah,Cardiologist,"Mon, Fri09:00 AM-10:00 AM","1,500",4
The Childrens Hospital Mumbai,Malad West,Dr. Pradeep Shenoy,Pediatric Surgeon,null,"1,200",4
Global Hospitals,Parel,Dr. Prashanth Rao,Laparoscopic Surgeon,Mon-Sat11:00 AM-07:00 PM,"1,750",4
Smile Invent Dental Clinic,Bandra East,Dr. Boskey A Panikar,Dentist,"Mon-Fri09:30 AM-05:00 PM, 06:30 PM-07:30 PMSat01:30 PM-05:00 PMshow more",200,5
RheumDerma Clinic,Prabhadevi,Dr. Sushant Shinde,Consultant Physician,"Mon, Fri02:00 PM-04:00 PM, 06:00 PM-08:00 PM","2,000",5
Patwardhan Homoeopathy Clinic,Dadar West,Dr. Mandar S Patwardhan,Homoeopath,"Mon-Sat10:00 AM-01:00 PM, 05:00 PM-08:30 PM",800,5
Tender Skin International,Malad West,Dr. Sonia Tekchandani,Dermatologist,Mon-Sat11:00 AM-08:00 PM,"2,000",4.5
Smile Invent Dental Clinic,Bandra East,Dr. Arjun Panikar,Periodontist,null,500,5
CosmoDent Hi-Tech Dental Hospital,Powai,Dr. Anand Narla,Dentist,"Mon-Sat10:00 AM-02:00 PM, 05:00 PM-09:00 PMSun10:00 AM-02:00 PMshow more",500,5
Unlimited Potentialities,Borivali West,Dr. Mohit Shah,Psychiatrist,"Mon, Wed, Fri10:00 AM-01:00 PM, 03:00 PM-08:00 PMSat04:00 PM-07:00 PMshow more","2,000",4.5
Kaya Kalp International Sex & Health Clinics,Borivali West,Dr. A. Kumar,Ayurveda,Tue02:00 PM-07:00 PM,500,5
Divine Smiles Dental Care,Bandra West,Dr. Manali Pathak,Dental Surgeon,Mon-Sat10:00 AM-04:00 PM,500,5
Aditi Hospital,Mulund West,Dr. Aditya Pathak,Orthopedist,Mon-Sat12:00 PM-01:30 PM,800,4.5
Vivanta Hospital,Malad West,Dr. Abhishek Wadkar,Cardiologist,null,"1,500",4.5
Dazzle Dental Clinic,Bandra West,Dr. Rajesh Shetty,Dentist,Mon-Sat09:30 AM-06:00 PM,"2,000",5
Finesse,Goregaon East,Dr. Kamlesh Bhagat,Dermatologist,"Wed11:00 AM-02:00 PM, 06:00 PM-08:00 PMSat-Sun11:00 AM-02:30 PM, 06:00 PM-08:00 PMshow more","1,200",5
Ambrosia Aesthetics,Andheri West,Dr. Siddharth Prakash,Plastic Surgeon,Mon-Sat05:01 PM-07:00 PM,"1,500",4.5
Dr. Nishant's Dental Surgeons Planet,Powai,Dr. Nishant Gandhi,Dentist,"Mon-Sat08:00 AM-02:00 PM, 05:00 PM-09:00 PM",500,5
Skinfiniti Cosmetic and Laser Clinic,Khar West,Dr. Poonam Parekh,Dermatologist,Mon-Fri11:30 AM-05:30 PMSat10:00 AM-04:00 PMshow more,"1,200",5
Womens Hospital,Khar West,Dr. Namrata Prabhudesai,Radiologist,Mon-Sat11:00 AM-04:00 PM,"2,000",5
Dr. Nair's Dental and Orthodontic Care,Andheri West,Dr. Snehal Thakkar,Oral And MaxilloFacial Surgeon,null,200,5
Dr. Nanda R Kumar's Gynecology Clinic.,Chembur East,Dr. Nanda R Kumar,Gynecologist,Mon-Sat06:00 PM-09:15 PMSun11:30 AM-01:00 PMshow more,"1,000",4
Parth Surgical Centre,Andheri West,Dr. Hemal Bhagat,Laparoscopic Surgeon,Mon-Fri02:00 PM-06:00 PMSat11:00 AM-01:00 PMshow more,"1,500",5
Evolve - The Mind Center,Worli,Ms. Nipa Sanghavi,Psychologist,"Tue, Fri-Sat05:00 PM-07:30 PM","1,500",4
Smile Essentials,Bandra West,Dr. Mansi Jajal,Dentist,Mon-Sat11:00 AM-08:00 PM,"1,000",5
Apollo Spectra Hospitals,Tardeo,Dr. Ajay Rathod,Orthopedist,"Wed, Fri11:00 AM-01:00 PM","1,000",4
Dazzle Dental Clinic,Bandra West,Dr. Fauzia Khimani Naaz,Dentist,"Mon, Wed, Sat09:30 AM-04:30 PMTue, Thu-Fri02:00 PM-09:00 PMshow more","1,000",5
My Skin My Health,Andheri East,Dr. Pallavi Rathi,Dermatologist,"Mon-Sat12:30 PM-02:30 PM, 06:00 PM-08:30 PMSun11:00 AM-01:00 PMshow more",800,4
Wockhardt Hospitals,Mira Road,Dr. Amit Sahu,Interventional Radiologist,Mon-Sat10:00 AM-04:00 PM,800,4
Forever Yooung Skin Hair Body Aesthetics Clinic,Bandra West,Dr. Sadhana Deshmukh,Dermatologist,Mon-Sun11:00 AM-08:00 PM,"1,500",4.5
BK Kidney and GI Centre,Goregaon West,Dr. Shrikant Badwe,Urologist,Mon-Fri05:30 PM-09:00 PM,"1,000",4
Believe - Health And Skin Clinic,Girgaon,Dr. Kalyani Nair,Dermatologist,"Mon03:00 PM-06:00 PMTue, Thu10:30 AM-01:15 PMWed04:00 PM-07:00 PMSat10:30 AM-01:30 PMshow more","1,000",5
Arohi Eye Hospital,Andheri West,Dr. Shradha Goel,Ophthalmologist/ Eye Surgeon,Mon-Fri11:00 AM-07:00 PM,"1,000",5
Bombay Knee & Hip Clinic,Matunga,Dr. Ashish Agarwal,Joint Replacement Surgeon,Mon-Sat07:00 PM-10:00 PM,"1,000",5
Sushrut Hospital and Research Center,Chembur East,Dr. Ganesh Kini,Neurologist,Mon-Fri10:30 AM-11:00 AM,"2,000",4
Smile Studio Dental Clinic,Worli,Dr. Sanket Mehta,Dentist,"Mon, Wed, Fri09:30 AM-01:00 PMTue, Thu, Sat04:30 PM-08:30 PMshow more",500,5
Hope Clinic,Tardeo,Dr. Devika Chopra,Gynecologist,"Mon-Fri10:30 AM-01:00 PM, 06:00 PM-08:00 PMSat10:30 AM-01:00 PM, 04:00 PM-06:00 PMSun06:00 PM-07:00 PMshow more","1,000",5
Goradia Ayurvedic Clinic.,Grant Road,Dr. Dineshchandra  Goradia,Ayurveda,"Mon, Wed, Fri05:45 PM-07:15 PM","1,500",5
Apollo Spectra Hospitals,Chembur,Dr. Sambit Patnaik,General Surgeon,Mon-Fri09:00 AM-11:00 AM,"2,000",4.5
Smile n Shine Advanced Dental Clinic,Kandivali West,Dr. Kunal Mehta,Dentist,Mon-Sat10:00 AM-02:00 PMSun12:30 PM-02:00 PMshow more,100,5
Roots Dental Clinic,Chembur,Dr. Urvi Ashar,Dentist,"Mon-Fri10:00 AM-02:00 PM, 04:00 PM-08:00 PM",500,5
Wockhardt Hospitals,Mira Road,Dr. Nikhil Agrawal,Orthopedist,Tue12:00 PM-02:00 PM,800,4
Smile Centre Dental Clinic,Bhandup West,Dr. Sandeep Patel,Implantologist,"Mon-Sat09:30 AM-01:00 PM, 05:30 PM-09:00 PM",200,5
Aditi Hospital,Mulund West,Dr. Shrirang S Yadwadkar,General Surgeon,Mon-Sat07:00 PM-08:00 PM,600,4.5
Tandon Eye Hospital,Andheri West,Dr. A. K. Tandon,Ophthalmologist/ Eye Surgeon,"Mon-Thu, Sat11:00 AM-01:30 PM, 05:30 PM-08:15 PMFri05:30 PM-08:15 PMshow more","1,000",5
Dent Heal,Bandra West,Dr. Rati Chadha,Prosthodontist,Mon-Wed10:30 AM-03:30 PMThu-Sat04:00 PM-09:00 PMSun02:30 PM-05:30 PMshow more,500,5
Global Hospitals,Parel,Dr. Amit Prabhakar Maydeo,General Surgeon,"Mon, Wed, Fri04:00 PM-06:00 PM","3,500",4
Anil Cancer Center,Mulund,Dr. Anil Heroor,Surgical Oncologist,"Mon, Wed-Thu, Sat05:30 PM-08:00 PM","1,200",null
Eye Solutions - The complete eye hospital,Tardeo,Dr. Rajul S. Parikh,Ophthalmologist/ Eye Surgeon,Wed10:00 AM-11:00 AM,"1,000",5
Ruby Hospital - Venture Of Arogyam Hospital,Bhandup West,Dr. Jiten Chowdhry,General Surgeon,"Mon-Sat01:00 PM-03:00 PM, 05:30 PM-08:00 PM",800,4.5
Winning Smiles Dental Clinic,Kandivali East,Dr. Keyur Mehta,Dentofacial Orthopedist,Mon06:00 PM-08:00 PM,400,5
Apollo Spectra Hospitals,Tardeo,Dr. Bakar Ali Kadiwala,Ophthalmologist/ Eye Surgeon,null,"1,500",4
Harleys Cosmetic & Women Clinic,Andheri West,Dr. Shilpa Bansal,Gynecologist,"Mon-Sat11:00 AM-02:00 PM, 05:45 PM-07:30 PM","1,000",5
Fortis Hospital,Mulund West,Dr. Harin Vyas,Cardiologist,Mon-Fri09:00 AM-11:00 AM,"1,500",4
Fortis Hospital,Mulund West,Dr. Zakia Khan,Cardiologist,Wed03:00 PM-05:00 PM,"1,500",4
Skinfiniti Cosmetic and Laser Clinic,Khar West,Dr. Shikha Shah,Dermatologist,Mon-Sat11:00 AM-08:00 PM,800,5
Aharayogam,Mulund West,Dr. Urmi. M Satiya,Homoeopath,"Mon-Sat11:30 AM-01:30 PM, 06:00 PM-08:00 PM",500,5
Parakh Hospital,Ghatkopar,Dr. Rusy Bhalla,General Surgeon,null,"1,000",4.5
CosmoDent Hi-Tech Dental Hospital,Powai,Dr. Kartik Srinivasan,Homoeopath,Mon-Sat04:00 PM-09:00 PM,800,5
Mohan ENT Care,Borivali West,Dr. Varsha R. Shirvekar,ENT/ Otorhinolaryngologist,"Mon-Sat09:30 AM-01:30 PM, 05:30 PM-09:30 PM",700,5
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Vijay Vishwanathan,Pediatrician,"Mon, Fri03:00 PM-04:00 PM","1,500",4.5
HEAL Institute,Colaba,Dr. Gaurang Shukla   (Physiotherapist),Physiotherapist,Mon-Sat10:00 AM-06:00 PM,800,5
The Childrens Hospital Mumbai,Malad West,Dr. Chinmay Shah,General Physician,Mon-Sat07:00 PM-08:00 PM,"1,000",4
Krishna Eye Centre,Sion East,Dr. Sonia G. Nankani,Ophthalmologist/ Eye Surgeon,Mon-Fri05:00 PM-07:00 PM,"1,000",null
"Parakh Hospital - Gynecology, Obstetrics & IVF",Ghatkopar East,Dr. Sadhna Shah,ENT/ Otorhinolaryngologist,Mon-Sat01:00 PM-02:00 PM,"1,000",4.5
S L Raheja Fortis Hospital,Mahim,Dr. Sundeep Amberkarle,null,"Mon, Sat11:00 AM-01:00 PM","1,300",4
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Pankaj Joshi,General Surgeon,"Mon, Wed, Fri06:00 PM-07:00 PM","1,000",4.5
Ace Heart Clinic,Borivali West,Dr. Pritesh Punjabi,Cardiologist,Mon-Sat10:00 AM-08:00 PM,"1,800",5
Sushrut Hospital and Research Center,Chembur East,Dr. Manish Sharma,Ophthalmologist/ Eye Surgeon,Thu10:30 AM-11:30 AM,600,4
Kent Homeopathy Clinic,Powai,Dr. Kukreja A. Kalani,Homoeopath,"Mon-Wed, Fri-Sat11:00 AM-01:30 PM, 06:30 PM-09:00 PMThu06:30 PM-09:00 PMshow more",500,5
Dr Muffi's Digestive Health Institute,Worli,Dr. Adnan Badr   (Physiotherapist),Physiotherapist,Mon-Sun09:00 AM-09:00 PM,"3,500",4.5
HEAL Institute,Khar West,Dr. Manish Singh   (Physiotherapist),Sports and Musculoskeletal Physiotherapist,null,800,5
Dr Siddharth's Plastic Surgery Clinic,Andheri West,Dr. Siddharth Prakash,Plastic Surgeon,"Tue, Thu04:01 PM-05:00 PM","1,500",5
Global Hospitals,Parel,Dr. Suresh Sankla,Neurosurgeon,Mon-Fri11:00 AM-06:00 PM,"1,750",4
Clinico Diagnostic India Pvt Ltd,Mulund West,Dr. Shruti Bhave Joshi   (Physiotherapist),Physiotherapist,"Mon, Wed-Fri04:00 PM-05:00 PMTue04:05 PM-05:00 PMshow more",300,5
Dr's Mind Centre,Kandivali West,Ms. Meenal Mishra,Clinical Psychologist,Mon-Sat10:00 AM-06:00 PM,700,4.5
Apollo Spectra Hospitals,Chembur,Dr. Mukund Jaganathan,Plastic Surgeon,Mon-Sat04:00 PM-06:30 PM,"1,000",4.5
Dr. Inamdar's Dental Studio,Kurla West,Dr. Aslam Inamdar,Dentist,"Mon-Tue, Thu02:30 PM-05:30 PM",200,4.5
Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,Kandivali West,Dr. Laxman G. Jonwal,Consultant Physician,"Mon-Sat09:00 AM-12:10 PM, 04:00 PM-07:10 PM",800,4
Exercise Clinic,Andheri West,Dr. Varun Shanbhag   (Physiotherapist),Physiotherapist,Mon-Sat07:00 PM-09:00 PM,600,5
The Childrens Hospital Mumbai,Malad West,Dr. Pankaj Shroff,Pediatric Surgeon,Wed12:00 PM-02:00 PM,"2,000",4
Bafna Polyclinic,Cumballa Hill,Dr. Raashi Mehta,Dermatologist,"Tue, Thu, Sat05:00 PM-07:00 PM","1,000",4.5
Surana Sethia Hospital and Research Center,Chembur,Dr. Gautam Nadkarni,General Surgeon,Mon-Sat09:00 AM-10:00 AM,"1,000",4.5
Apollo Spectra Hospitals,Chembur,Dr. Ravindra Hodarkar,Urologist,Mon-Fri08:30 PM-09:00 PM,"1,000",4.5
Mehta Eye Clinic,Ghatkopar East,Dr. Vinod C Mehta,Ophthalmologist/ Eye Surgeon,"Mon, Wed, Fri03:00 PM-07:00 PMTue09:00 AM-12:30 PM, 03:00 PM-07:00 PMThu, Sat09:00 AM-12:30 PMshow more","1,000",5
Sahastram Ayurveda Panchkarma Center,Dadar East,Dr. Rajshree Chavan,Sexologist (Ayurveda),"Mon-Fri11:45 AM-03:00 PM, 06:25 PM-08:30 PMSat11:45 AM-03:00 PM, 06:30 PM-08:30 PMSun11:45 AM-02:30 PMshow more",500,4.5
Lifeforce Homeopathy Clinic,Chembur,Dr. Neetu Jetwani,Homoeopath,Mon-Sat10:00 AM-06:00 PM,500,4.5
Eye Solutions - The complete eye hospital,Tardeo,Dr. Deepak Garg,Ophthalmologist/ Eye Surgeon,Mon-Fri03:00 PM-05:45 PMSat03:00 PM-04:00 PMshow more,"1,000",5
RD Smita Nanda Nutrition Consultant,Kandivali East,"Ms. Smita Nanda, RD",Dietitian/Nutritionist,"Mon-Sun10:30 AM-01:00 PM, 04:00 PM-07:00 PM","1,200",5
Dr L H Hiranandani Hospital,Powai,Dr. Ganesh Kumar A.V,Cardiologist,"Mon-Fri08:20 AM-09:50 AM, 11:30 AM-12:20 PMSat08:20 AM-11:55 AMshow more","1,800",3.5
Dr. Sana Bhamla Khan - KYSHHA Skin and Hair Clinic,Mumbai Central,Dr. Sana Bhamla Khan,Dermatologist,"Mon, Wed, Fri12:00 PM-02:00 PM, 03:00 PM-08:00 PMThu05:00 PM-08:00 PMshow more","1,000",5
Fortis Hospital,Mulund West,Dr. Suresh Vijan,Cardiologist,"Wed, Sat12:00 PM-02:00 PM","1,500",4
Lifeforce Homeopathy Clinic,Chembur,Dr. Rajesh Shah,Homoeopath,Mon-Sat10:00 AM-04:00 PM,"3,000",4.5
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Ashlesha B Chaudhary,ENT/ Otorhinolaryngologist,Mon-Sat08:00 PM-09:00 PM,800,4.5
Dr. Sanjay Bakhshi's Physioline Pain & Paralysis Centre,Andheri West,Dr. Sanjay Bakhshi   (Physiotherapist),Physiotherapist,Mon-Sat12:30 PM-07:30 PM,"2,000",5
Smile n Shine Advanced Dental Clinic,Kandivali West,Dr. Charmi Mehta,Dentist,Mon-Sat07:00 PM-09:00 PM,100,5
Clear Vision Eye Clinic,Wadala,Dr. Shilpa Shah Gohil,Infertility Specialist,Mon-Sat07:30 PM-08:30 PM,800,5
Surana Sethia Hospital and Research Center,Chembur,Dr. Santosh Shetty,Orthopedist,null,"1,000",4.5
Divine Smiles Dental Care,Bandra West,Dr. Saachi Shingrani,Dental Surgeon,Mon-Sat04:00 PM-08:30 PM,500,5
Mothers Care Clinic,Andheri West,Dr. Kirti Khopkar.,Ultrasonologist,Mon-Sat10:30 AM-12:30 PM,600,5
Krishna Eye Centre,Parel,Dr. Neetu Asher,Ophthalmologist/ Eye Surgeon,Wed12:00 PM-02:00 PM,"1,200",5
Surana Sethia Hospital and Research Center,Chembur,Dr. Arpit C Dave,Orthopedist,null,"1,000",4.5
"Dr. Sonal Sanghavi's
 Homoeopathic Clinic",Borivali West,Dr. Sonal H. Sanghavi,Homoeopath,"Mon-Fri10:30 AM-01:30 PM, 04:30 PM-07:30 PMSat10:30 AM-01:30 PM, 04:30 PM-08:00 PMshow more","1,000",5
Roots Dental Clinic,Chembur,Dr. Menaz Thakkar,Dentist,"Mon-Fri10:00 AM-02:00 PM, 04:00 PM-08:00 PMSat10:00 AM-02:00 PMshow more",500,5
Orthopaedic Ophthalmic Physiotherapy Clinic,Bandra West,Dr. Hemant Bhandari,Orthopedist,"Mon, Wed-Sat07:00 PM-09:00 PM","1,500",5
Dr. Vora's Dental Care,Mulund West,Dr. Naman Hiralal Vora,Dentist,"Mon, Wed, Fri-Sat10:00 AM-02:00 PM, 04:00 PM-08:00 PM",300,5
